,the_geom,NAME,BIN,CNSTRCT_YR,LSTMODDATE,LSTSTATYPE,DOITT_ID,HEIGHTROOF,FEAT_CODE,GROUNDELEV,SHAPE_AREA,SHAPE_LEN,BASE_BBL,MPLUTO_BBL,GEOMSOURCE,GLOBALID,index_right,Id
73657,"MULTIPOLYGON (((-73.96438354110091 40.783391427087764, -73.96443207564941 40.783323034574465, -73.96445657338731 40.783333079123345, -73.96450898362392 40.78335456773614, -73.96444669034344 40.783442347438395, -73.9644448194792 40.783444984430304, -73.96436791143063 40.78341345122624, -73.96436936733872 40.783411400333826, -73.96438354110091 40.783391427087764)))",,1083838,,08/10/2017,Constructed,265749,18.0,2100,107.0,0,0,1011110001,1011110001,Other (Man,{987781BA-ED27-4731-B0B4-C81C7D4A6758},0,0
76411,"MULTIPOLYGON (((-73.95130892867925 40.7947043284336, -73.95134352777114 40.79465244182284, -73.95140695418719 40.79467686943013, -73.95137235513198 40.794728756059726, -73.95130892867925 40.7947043284336)))",,1090021,,08/17/2017,Constructed,1269279,14.38638684,5110,19.0,0,0,1011110001,1011110001,Photogramm,{FB245F2F-0BDE-458D-9E9E-2532A7B297B1},0,0
79067,"MULTIPOLYGON (((-73.97258809973621 40.76875098149003, -73.97263777828694 40.768601913134795, -73.97278599282112 40.76863046358375, -73.97273631458047 40.76877953290276, -73.97258809973621 40.76875098149003)))",,1090014,,11/28/2016,Constructed,1268787,10.56351003,2100,75.0,0,0,1011110001,1011110001,Photogramm,{38E7EA1E-B7DB-4278-A348-FED4D5833676},0,0
79068,"MULTIPOLYGON (((-73.97235480788035 40.76860011031589, -73.9724767745071 40.76859590804981, -73.97247936349932 40.76863934715892, -73.97247195119645 40.7686539173367, -73.97244459293417 40.768662858200244, -73.97239795625573 40.76866446524205, -73.97235725094124 40.76864109642104, -73.97235480788035 40.76860011031589)))",,1090015,,11/28/2016,Constructed,1268121,17.92632407,2100,70.0,0,0,1011110001,1011110001,Photogramm,{D9E6AD52-A1EB-440F-AF15-A4596896D28E},0,0
79069,"MULTIPOLYGON (((-73.97266030542362 40.76839908185339, -73.97270551852574 40.76838806500619, -73.97274924213889 40.76840467253749, -73.97276447455752 40.76844080524354, -73.97274152582581 40.76847348359393, -73.97269631267164 40.76848450045512, -73.97265339562713 40.76846787148327, -73.97263816326296 40.76843173786222, -73.97266030542362 40.76839908185339)))",,1090013,,11/28/2016,Constructed,1268661,14.78526804,2100,68.0,0,0,1011110001,1011110001,Photogramm,{383478D7-AD10-4882-9986-2E8C6EAD7269},0,0
101568,"MULTIPOLYGON (((-73.96857645100785 40.77886727986469, -73.96810438275631 40.7786674548017, -73.96817925897517 40.778565240584975, -73.96819427683026 40.77857159777423, -73.96827173252981 40.778604384800495, -73.96852147728517 40.77871010111357, -73.96854027385638 40.77868444013282, -73.96871679969722 40.77875916323572, -73.96870791766911 40.77877128788723, -73.96869821180096 40.77878453614094, -73.96865153653869 40.778764779041765, -73.96861112221856 40.77881994991414, -73.96857645100785 40.77886727986469)))",,1083814,,08/22/2017,Constructed,364380,21.0,2100,100.0,0,0,1011110001,1011110001,Other (Man,{D7620EFE-C29B-4EDA-B1BC-43DA48944471},0,0
453961,"MULTIPOLYGON (((-73.97173912063646 40.76795216746384, -73.97164700086424 40.76791878837496, -73.97161570218029 40.76782776586296, -73.97169409291685 40.767719615746564, -73.97179250201195 40.767699149820686, -73.97189903330998 40.76774158597422, -73.97192456916964 40.7678152137779, -73.97184304068077 40.76793289421338, -73.97173912063646 40.76795216746384)))",,1090844,,08/16/2019,Constructed,1289066,0.0,2100,45.0,0,0,1011110001,1011110001,Other (Man,{EC7E91CF-2CED-4657-8B51-312436CC0439},0,0
495676,"MULTIPOLYGON (((-73.97789947456106 40.77209734479787, -73.97793963559164 40.77210616301606, -73.97785639202824 40.77232526555703, -73.9778477375054 40.77232336473252, -73.97783867642211 40.77234721191271, -73.9778315403178 40.77234564456521, -73.97774932531216 40.772327591642174, -73.97775067209068 40.77232404662171, -73.97767392912787 40.77230719507189, -73.97763096555707 40.77232283478055, -73.97763381383604 40.77232769534839, -73.97763597977541 40.772332754794895, -73.9776374385188 40.772337959085114, -73.97763817468677 40.77234325058384, -73.97763818000698 40.772348571657375, -73.97763745449902 40.772353863772935, -73.97763600647318 40.77235907020046, -73.97763385134753 40.77236413241021, -73.9776335242361 40.772364694260645, -73.97763101283012 40.772368996376606, -73.97762752173605 40.7723736080754, -73.97762341717045 40.77237791798641, -73.97761874297586 40.772381878391386, -73.97761355010047 40.77238544607616, -73.97760789541343 40.77238858232995, -73.97760184052073 40.77239125204509, -73.97759545294849 40.77239342731909, -73.97758880140655 40.77239508295112, -73.97758195933996 40.7723962018459, -73.977575000192 40.77239677231117, -73.97756800095824 40.772396786257296, -73.97756103744655 40.77239624550007, -73.97755418783265 40.77239515455731, -73.97754752436721 40.77239352605008, -73.97754112048379 40.772391377102295, -73.9775350472445 40.77238873204145, -73.97752937097182 40.77238561969663, -73.97752415324877 40.77238207339853, -73.97751944973388 40.772378131879655, -73.97751658897737 40.77237516326342, -73.97751531371493 40.77237383927515, -73.97751179018712 40.772369242420005, -73.97747888648951 40.77237797177345, -73.97742907593117 40.772367034422565, -73.97719364768336 40.77231533701087, -73.9771946447472 40.77231271494335, -73.97719675150493 40.77230717096304, -73.97721957015152 40.77224711012217, -73.97736013972728 40.77227797825656, -73.97747644316773 40.772303516803795, -73.9776249902365 40.77224381357725, -73.97765736873778 40.77223620880838, -73.97760129508228 40.77222389614941, -73.97764605424223 40.772106088423534, -73.97768387366389 40.77211439298983, -73.97766974504202 40.77209298439399, -73.97760791378076 40.77199929666092, -73.9776001095602 40.77198747153843, -73.97760113979933 40.77198475942343, -73.977431471032 40.7719475022192, -73.9774563237479 40.771882087335214, -73.97766729383363 40.771928414278385, -73.97766797131477 40.771928562992734, -73.97775276014771 40.77204459571049, -73.97776214062958 40.772057433292176, -73.97777042121946 40.772068765920295, -73.97777033704622 40.77206898742778, -73.97787818595036 40.77209266980315, -73.97789947456106 40.77209734479787)))",Tavern on the Green,1085773,1870.0,04/10/2020,Constructed,996078,34.86,2100,83.0,0,0,1011110001,1011110001,Photogramm,{BAF0592D-A123-4138-8120-E9A823CC96F0},0,0
495787,"MULTIPOLYGON (((-73.96861596476347 40.775532749121524, -73.9686094433016 40.7755111190728, -73.96858984435391 40.775514533841, -73.96854881615852 40.77552168254636, -73.96854056560491 40.775494316720376, -73.96851848807405 40.775421089919966, -73.96856859184672 40.775412360617615, -73.96858235515907 40.775409962730464, -73.96857301651679 40.775378988295536, -73.96866778049112 40.77536247727122, -73.96869630930372 40.77535750614585, -73.968694071614 40.7753500826945, -73.96867768431179 40.775352938237596, -73.96863380111294 40.77520738705884, -73.96861114467274 40.775211334996634, -73.96860413596939 40.775188090212474, -73.96857850563896 40.77510307667278, -73.9687329825831 40.77507616124469, -73.96877924188712 40.775068101681576, -73.96877233130459 40.775045183816246, -73.96877188778872 40.77504371137414, -73.96877272888813 40.77504356482012, -73.9688348316301 40.77503274408344, -73.9688676096157 40.77502703295087, -73.96887145344249 40.775039784207124, -73.96897377194772 40.77537915002854, -73.96897781214818 40.775392552396816, -73.96896382495402 40.775394989893016, -73.96900110343377 40.77551863263746, -73.96900584737516 40.77553436749564, -73.96901045648771 40.77554965386701, -73.9690143737024 40.77556264647192, -73.96894364383074 40.77557497062018, -73.96882664124846 40.77559535612259, -73.96878855808556 40.77560199242338, -73.96872083716038 40.77561379135632, -73.9686718610499 40.77562232472165, -73.96864441371473 40.77562710702958, -73.96861596476347 40.775532749121524), (-73.96887668607621 40.775401197868064, -73.96885516705717 40.775323460664254, -73.9687938937133 40.77533326316761, -73.96877499863737 40.77533628553889, -73.96879651756747 40.77541402185704, -73.9688640790819 40.77540321428971, -73.96887668607621 40.775401197868064)))",Loeb Boathouse,1083830,1954.0,04/10/2020,Constructed,399906,23.95,2100,58.0,0,0,1011110001,1011110001,Photogramm,{60BABF75-F4E7-4340-863B-D92538A16302},0,0
950453,"MULTIPOLYGON (((-73.97457483126998 40.77311071468978, -73.97438164600602 40.773092774404084, -73.97438019861835 40.77310177641024, -73.97421802885253 40.77308671624708, -73.97421784525932 40.773086699096424, -73.97423601327388 40.772973630605755, -73.97426862415873 40.77295205193626, -73.97440226325475 40.77296446271769, -73.97439934355104 40.77298263421888, -73.97451121332742 40.77299302380891, -73.97450759549474 40.77301554008511, -73.97458891069431 40.7730230916544, -73.97457973734424 40.773080182418795, -73.97457483126998 40.77311071468978)))",Mineral Springs,1083815,1964.0,04/10/2020,Constructed,554139,34.0,2100,87.0,0,0,1011110001,1011110001,Other (Man,{BD617D0D-1ADA-4B7D-BD30-46600EE9C947},0,0
